what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1366931791693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1366931793134
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1366931812825
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1366931813763
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1366931814128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931816083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931820842
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1366931821542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931876782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931883906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366931939837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932030428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932034403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932103933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932120782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932122561
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366932123169
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1366932124609
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1366932125912
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1366932125941
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1366932125995
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1366932126025
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1366932126052
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1366932126102
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1366932126102
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366932126102
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1366932126108
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1366932126114
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1366932126138
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1366932126138
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366932126138
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1366932126172
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1366932126214
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1366932126214
